A11,A12,A13,A14,A15,A16,A21,A22,A23,A24,A25,A31,A32,A33,A34,B11,B12,B13,B14,B21,B22,B23,B24,B31,B32,B33,B34,C11,C12,C21,C31,D11,D12,D13,D14,D15,D16,D17,D21,D22,D23,D31,D32
4,9,1,9,6,6,3,3,4,6,3,9,1,2,2,3,3,3,3,2,6,6,2,2,1,6,4,6,3,1,1,6,2,9,2,4,3,6,3,9,9,9,4
4,6,2,9,6,2,9,6,6,1,6,3,6,6,2,1,6,2,6,4,9,3,2,1,3,9,2,6,6,9,2,6,2,9,1,3,6,3,6,2,9,1,3
2,3,3,6,9,4,3,2,2,6,4,2,1,1,6,3,3,3,3,6,6,6,2,3,9,9,1,9,9,6,6,2,2,2,2,4,2,2,4,3,3,9,1
9,2,4,6,4,6,2,3,9,6,6,6,9,9,9,6,9,2,6,9,9,3,3,2,3,6,2,6,2,2,6,4,2,2,6,3,2,3,6,2,6,2,3
2,3,1,6,6,6,2,2,1,9,2,1,6,4,2,1,3,1,3,2,9,9,2,2,6,3,2,3,1,3,4,3,6,6,6,9,3,3,3,1,4,6,1
2,2,1,2,6,1,4,2,2,1,6,3,3,2,1,3,6,3,6,3,6,4,1,2,6,3,2,6,2,1,3,3,1,2,3,9,3,2,2,9,6,6,6
6,3,6,9,6,1,1,4,6,4,2,6,2,9,1,4,3,2,9,3,6,2,9,6,3,9,1,3,6,6,6,6,1,3,4,3,4,9,6,3,4,3,3
3,9,4,1,1,1,2,6,3,9,3,3,4,2,2,9,9,2,6,6,9,2,2,3,3,3,3,1,6,3,6,2,1,3,6,4,2,4,3,2,9,1,4
1,9,6,6,1,4,3,2,6,1,2,3,9,9,1,3,1,3,2,2,1,1,1,6,6,2,2,1,3,9,2,3,4,4,1,6,2,3,9,6,9,6,6
6,6,4,4,4,3,4,2,9,1,1,2,9,3,6,2,1,6,4,3,3,2,3,9,2,3,1,3,9,1,6,6,2,3,3,3,2,6,2,6,3,4,6
2,3,3,6,6,3,3,4,4,3,9,3,6,4,3,6,2,2,1,6,4,4,3,2,1,1,2,4,3,6,2,9,2,4,3,6,6,3,9,2,2,2,6
3,1,3,3,9,2,3,2,4,3,3,4,6,6,3,1,9,6,1,6,6,6,2,6,2,1,6,2,2,3,9,3,3,2,6,2,6,2,1,4,3,6,6
6,4,6,2,1,3,1,3,4,6,1,3,6,2,2,3,2,4,2,2,6,9,6,6,9,3,2,2,4,3,1,3,3,2,6,6,2,2,2,1,2,9,6
9,6,6,6,2,3,1,4,1,2,3,9,2,6,1,6,6,3,6,3,4,4,2,3,4,9,2,3,2,3,2,3,9,4,2,6,9,6,2,2,2,9,2
3,2,6,2,9,2,1,2,9,4,1,9,9,4,1,4,4,4,3,1,9,3,3,2,1,1,2,2,9,2,3,1,1,3,9,3,9,1,3,6,3,6,1
6,2,9,3,2,6,9,3,9,2,2,6,6,1,6,4,3,1,9,2,6,9,1,9,1,1,1,3,3,3,2,3,4,9,6,2,4,9,9,6,1,6,6
9,2,6,1,2,3,9,1,2,3,2,9,3,4,9,3,4,4,1,3,6,2,4,2,2,2,2,6,3,4,3,6,3,2,4,6,1,2,4,3,4,6,9
3,2,2,9,2,9,6,4,6,3,6,9,6,6,4,6,4,2,2,1,3,9,9,2,6,6,2,9,3,1,3,9,2,9,4,3,6,4,2,3,9,3,6
3,2,2,3,6,6,2,2,9,6,6,6,4,3,1,3,2,1,3,3,9,3,2,6,2,9,2,3,3,6,6,1,3,6,3,9,4,3,6,3,1,3,4
4,3,4,1,9,1,3,6,9,6,6,2,4,4,2,6,2,6,6,6,3,6,6,1,6,1,2,6,4,6,2,6,3,4,3,3,6,2,2,3,3,1,3
2,6,2,3,4,4,3,6,1,9,3,3,4,1,4,2,2,2,1,6,3,2,3,3,2,3,3,1,2,9,9,6,4,2,2,4,2,3,3,2,1,9,9
6,1,9,1,4,9,3,1,4,6,6,3,3,6,4,1,4,4,6,3,9,3,2,6,6,3,4,3,3,2,4,4,4,6,2,2,1,4,1,2,9,1,2
2,2,2,9,9,6,9,1,2,6,2,3,4,2,3,6,9,2,3,2,1,4,3,6,4,9,9,3,1,3,4,1,9,4,6,2,3,2,6,2,3,9,3
3,1,4,2,6,2,2,6,3,2,2,1,2,1,4,1,6,6,1,1,3,6,6,6,6,3,3,2,2,2,3,2,9,2,9,2,3,3,6,2,3,6,6
4,6,3,6,3,2,6,9,1,4,2,1,3,6,3,3,9,2,2,6,9,1,2,1,6,4,2,3,4,4,6,2,9,1,9,9,9,3,3,6,1,1,6
6,2,2,4,4,4,1,6,9,6,2,3,2,3,4,6,6,6,2,6,4,2,1,1,3,3,2,6,4,2,1,3,2,6,4,2,3,2,1,3,9,1,3
1,2,4,4,3,4,2,6,1,3,9,4,3,1,4,6,1,3,6,9,4,1,1,4,2,3,4,6,6,9,6,9,6,3,2,6,6,2,2,3,6,6,6
2,6,2,9,2,6,3,9,2,4,6,1,6,2,3,3,4,6,1,2,2,1,2,9,3,4,2,1,6,9,2,3,4,2,4,9,4,6,2,6,9,6,6
6,1,2,4,4,3,2,2,6,3,6,6,2,3,4,4,2,9,3,2,3,3,6,2,1,3,6,3,2,6,6,6,6,2,4,6,9,6,9,6,2,9,6
1,6,6,2,3,9,6,9,3,2,6,6,3,2,3,9,6,3,6,1,3,9,4,1,6,9,6,1,2,6,2,4,6,9,1,6,3,6,3,4,2,3,1
3,9,3,6,6,6,1,9,2,2,3,6,2,2,4,2,3,6,3,4,6,2,6,6,2,3,3,3,3,4,6,3,6,6,6,4,2,4,3,2,6,2,6
6,9,9,6,9,2,4,6,6,9,1,2,2,3,3,6,4,2,6,6,2,3,3,4,2,3,2,3,6,9,3,3,6,1,3,6,2,6,1,9,9,2,3
2,6,4,4,6,6,2,3,1,9,3,4,9,2,1,2,6,6,6,6,3,6,3,2,3,2,3,2,1,2,3,6,3,3,6,6,1,6,4,3,6,9,4
6,3,6,3,2,6,6,3,3,6,3,3,2,2,6,3,6,4,4,3,6,2,6,2,3,6,1,3,9,2,4,1,3,6,9,2,9,6,3,2,2,3,2
1,9,1,6,2,2,9,2,2,9,9,2,4,2,2,2,4,2,6,6,9,2,6,9,6,9,3,2,4,1,1,6,9,3,2,3,2,6,9,6,9,4,6
4,6,3,2,4,9,2,3,6,6,3,6,2,1,6,2,2,9,3,4,2,4,2,3,2,3,3,2,3,9,3,6,6,1,3,3,3,6,2,3,2,2,2
2,2,6,3,3,6,3,9,3,4,9,2,6,2,3,6,1,3,6,6,9,9,1,2,6,9,4,9,4,9,1,6,1,9,6,3,2,3,6,1,3,2,1
2,1,1,6,1,6,6,9,2,9,2,2,6,3,6,3,1,2,2,6,1,3,2,2,2,3,9,4,4,6,1,3,3,1,9,9,2,2,2,9,2,6,6
1,3,2,2,2,2,4,3,2,3,2,2,9,3,6,3,6,6,2,3,1,9,1,3,4,2,3,3,9,6,2,4,4,4,9,6,3,9,3,4,4,2,3
2,3,4,3,9,6,6,6,4,3,6,6,9,9,9,4,9,2,6,4,1,6,1,3,3,4,1,3,9,6,2,9,1,1,4,9,2,2,3,9,4,6,6
6,4,1,3,3,2,9,6,1,6,3,2,2,2,4,2,2,9,6,1,4,3,2,3,2,9,6,2,6,9,6,2,6,9,3,3,9,9,1,9,3,6,9
6,2,2,3,1,6,3,9,2,2,2,2,9,2,4,2,9,2,9,1,4,2,4,4,2,1,6,2,2,4,3,6,3,4,9,4,6,1,3,3,9,9,3
2,4,3,4,3,3,1,6,6,3,6,3,3,3,6,6,1,3,3,2,4,6,1,1,6,2,3,9,4,2,6,2,1,1,3,3,6,3,1,6,6,9,6
9,3,3,6,1,2,3,1,9,9,4,4,3,9,6,4,4,1,6,2,4,6,6,2,3,3,6,9,3,2,2,9,4,1,3,3,3,6,2,9,2,1,3
6,1,3,9,6,4,6,3,2,6,2,2,9,4,2,3,2,6,4,3,2,6,2,3,3,3,3,1,2,1,6,3,2,6,3,9,2,2,1,6,2,3,9
3,2,2,6,6,3,3,3,2,2,3,2,4,2,6,2,3,2,3,6,6,4,6,3,6,2,6,3,6,9,3,2,3,4,1,2,4,6,6,2,2,3,3
4,9,4,6,4,6,9,6,6,3,4,1,6,2,1,3,3,6,9,2,3,6,6,2,6,6,4,6,4,6,9,9,2,9,2,2,9,2,2,6,3,9,9
4,4,9,2,3,3,6,3,2,2,4,2,4,6,3,4,4,3,4,6,3,2,3,6,3,1,1,9,1,1,2,2,2,2,9,6,4,2,1,3,6,1,1
2,3,1,3,2,3,6,2,4,3,2,3,9,1,6,3,1,9,3,6,3,4,2,9,2,2,4,4,4,6,2,2,2,2,1,6,1,6,9,3,1,6,1
2,3,6,6,4,2,3,9,6,1,6,9,6,2,1,2,6,3,3,4,3,6,3,6,1,2,2,4,1,1,9,3,6,6,6,9,2,3,2,4,2,2,2
6,9,1,9,1,6,9,9,3,1,2,4,2,6,2,9,3,3,2,4,4,6,9,3,3,2,1,3,3,2,2,9,6,6,2,3,6,3,6,6,2,2,2
3,3,1,9,6,6,6,4,3,3,2,1,6,1,2,2,6,1,2,2,9,9,3,2,6,2,1,3,6,6,2,6,1,2,4,2,4,9,6,1,4,2,9
9,2,2,3,9,2,3,6,2,6,3,2,6,3,1,3,9,9,2,2,1,2,2,3,9,4,9,4,6,2,6,3,1,6,9,1,9,3,6,6,1,2,1
4,2,3,4,9,3,2,3,9,3,4,1,1,9,6,6,3,4,6,6,1,2,3,4,9,6,3,3,4,2,2,9,2,2,6,1,9,6,1,1,9,3,3
2,3,4,1,2,2,6,4,6,3,9,6,3,3,9,1,2,2,4,3,2,1,6,3,2,4,2,2,1,3,2,4,3,1,2,6,4,9,4,4,3,9,3
6,1,2,3,1,9,3,2,3,3,6,9,1,2,6,1,3,3,6,9,6,4,4,2,1,6,9,6,4,2,6,9,6,1,2,6,3,2,1,6,3,6,2
1,9,9,6,4,2,3,9,2,2,1,6,3,3,6,9,6,1,9,9,4,2,2,2,6,6,3,6,9,2,1,1,2,1,3,1,6,6,6,6,4,1,2
4,6,3,6,4,3,6,3,6,4,6,3,9,9,6,3,4,9,6,6,3,3,4,4,6,6,4,3,2,9,2,2,1,6,2,6,2,3,6,3,3,2,9
9,2,3,1,1,3,4,9,1,2,6,9,4,6,4,6,2,1,3,6,6,1,3,2,1,4,9,4,3,2,1,9,2,1,9,9,6,6,2,4,6,3,3
9,2,3,9,3,2,9,6,6,3,4,2,3,2,6,2,6,9,9,2,3,1,6,3,3,2,1,6,9,3,3,6,6,2,2,9,6,9,6,1,2,9,3
1,6,2,3,6,6,6,3,6,2,6,9,6,3,3,2,2,1,3,6,3,2,2,6,3,2,2,2,6,2,4,3,3,6,6,9,6,2,6,6,3,3,6
2,2,2,3,4,2,3,3,1,9,9,3,9,6,6,9,4,2,9,6,6,2,6,1,4,3,6,6,4,2,9,6,4,2,3,2,2,3,2,6,9,3,4
6,1,2,9,6,3,3,2,9,9,3,9,6,6,1,9,6,3,6,2,3,1,4,2,6,6,3,9,3,9,3,9,1,9,6,6,6,2,1,1,3,3,4
1,9,6,3,1,6,2,6,2,2,3,6,3,2,3,6,9,6,6,3,2,2,4,3,3,4,3,6,6,9,6,9,1,3,2,3,6,2,2,2,2,1,3
1,6,2,6,6,2,6,1,4,6,3,9,1,2,1,9,3,6,6,2,9,1,6,9,3,6,4,9,6,1,4,3,9,2,1,4,1,4,9,1,2,3,2
3,6,2,6,4,3,2,4,3,6,3,3,2,1,1,6,1,2,1,3,3,9,3,6,2,2,6,2,3,2,6,3,2,2,6,9,2,6,3,3,3,4,2
2,1,6,2,2,4,6,2,3,3,6,1,6,9,6,4,9,6,6,2,1,6,2,6,3,6,6,6,3,4,6,9,2,3,3,6,1,9,2,3,3,3,3
3,6,6,2,9,3,1,6,3,1,2,3,9,3,2,1,2,1,1,1,6,1,6,3,6,2,2,2,2,3,6,1,2,2,4,9,9,4,2,4,3,6,1
6,3,6,1,9,4,6,9,2,1,9,2,6,4,2,6,4,2,4,6,3,2,9,1,9,6,6,6,4,2,2,3,1,2,3,2,6,6,6,2,3,1,3
1,6,9,2,2,3,6,2,3,3,9,6,3,2,3,4,2,6,3,6,3,6,2,1,1,9,4,9,6,6,2,3,1,2,3,1,9,4,6,2,2,1,4
6,4,6,6,9,6,6,2,3,3,2,6,4,9,2,4,3,4,6,6,2,6,1,9,2,4,3,2,3,6,9,2,2,3,6,3,4,3,6,6,2,1,2
3,1,4,3,3,2,3,1,6,9,3,6,3,2,6,3,2,3,6,2,4,6,6,6,2,3,1,3,3,3,1,2,3,2,3,4,1,3,2,6,6,2,6
2,9,9,9,6,6,1,2,2,2,6,9,9,1,2,1,2,6,3,1,3,6,6,4,2,9,4,9,1,1,2,9,2,3,2,3,1,9,3,6,3,9,3
1,9,6,4,6,1,6,2,1,2,2,3,2,6,9,2,2,1,6,4,1,6,6,2,3,4,2,6,9,3,4,9,3,3,9,4,6,3,3,9,4,2,2
6,3,6,6,1,1,2,9,9,2,3,2,2,9,4,6,9,2,3,1,3,6,2,2,2,2,6,3,2,2,3,3,6,9,3,4,2,4,3,3,6,9,2
9,9,1,1,2,3,3,3,3,2,2,9,3,2,1,6,2,4,4,9,9,3,4,6,3,2,3,3,6,2,3,6,6,6,6,3,3,1,3,3,2,6,6
6,6,2,6,3,6,2,1,1,2,1,6,3,6,1,3,3,2,2,3,2,6,4,6,6,3,1,2,6,1,2,4,2,9,9,1,2,6,3,6,2,9,2
2,1,6,3,3,6,2,3,4,1,6,6,1,2,1,6,1,6,2,2,3,3,2,2,9,3,6,6,3,6,4,6,6,2,2,9,2,9,9,4,3,2,1
3,6,2,2,3,3,2,2,3,3,6,9,2,6,6,1,2,1,6,4,4,6,3,2,1,2,6,6,2,6,3,9,6,3,6,4,1,6,6,9,6,6,9
3,9,9,4,2,2,1,2,6,4,6,2,2,6,4,9,2,3,1,6,9,4,4,6,2,6,1,6,9,2,6,3,6,4,1,2,2,6,6,6,1,4,6
3,4,9,3,6,2,6,1,4,2,2,4,9,3,6,6,2,2,6,6,9,1,9,1,3,4,3,3,3,3,4,2,9,1,1,9,9,4,6,9,3,4,1
9,3,3,3,6,3,6,3,9,1,3,3,2,4,2,2,9,2,4,3,3,9,3,9,2,1,1,6,9,2,3,6,3,3,4,4,6,3,4,2,4,3,2
3,6,3,3,9,1,9,2,2,2,6,1,3,1,6,6,2,2,6,9,3,6,3,2,4,1,3,3,3,2,9,6,1,3,4,2,2,9,6,6,9,1,4
4,2,6,4,2,9,6,4,6,1,2,3,3,4,4,6,2,2,2,3,2,6,1,1,6,2,1,2,6,4,6,4,6,3,2,4,6,4,1,4,2,9,4
4,2,1,3,6,4,4,2,2,2,6,2,2,2,6,9,9,2,6,9,3,9,6,3,2,9,3,6,4,6,1,1,3,9,6,3,3,6,3,1,1,3,3
6,6,2,1,6,1,9,2,6,3,3,4,3,6,2,9,3,3,3,6,3,4,2,4,1,2,2,2,3,3,6,1,2,6,6,3,1,3,3,9,4,6,2
3,6,9,6,3,1,1,6,1,6,1,6,9,9,3,3,6,3,2,3,1,4,2,6,1,9,9,2,2,6,4,3,3,6,3,2,3,4,6,4,2,1,6
6,1,4,9,4,3,4,4,2,4,4,2,2,2,6,3,3,6,4,6,4,6,3,9,2,6,3,9,9,6,6,2,6,6,4,2,1,3,6,2,3,9,6
3,9,9,2,3,4,6,3,4,2,1,2,2,3,2,2,2,1,6,3,3,6,3,3,2,3,4,9,3,9,9,9,6,4,2,2,2,2,9,2,9,3,2
4,3,2,3,9,6,9,6,6,3,2,6,2,3,3,2,2,2,1,4,9,1,9,1,2,3,2,1,9,3,6,3,3,2,6,1,3,6,2,4,3,2,6
3,4,2,6,2,9,2,3,2,1,9,3,2,6,2,9,9,4,9,9,3,2,3,4,6,2,3,3,9,3,4,3,4,9,1,6,3,9,1,4,2,2,3
6,3,2,6,3,6,2,1,6,9,1,9,2,6,6,3,2,2,3,3,6,1,2,4,2,1,6,3,1,9,3,6,2,3,2,9,1,3,3,3,4,2,6
4,6,4,4,6,2,4,2,3,1,3,3,4,6,3,4,3,6,3,6,3,6,1,6,3,3,4,6,1,6,4,1,9,2,9,2,2,1,3,6,4,4,4
2,9,1,3,1,6,2,3,6,2,2,3,4,2,4,1,1,9,4,1,1,3,9,1,9,1,2,9,2,6,1,2,6,6,6,3,1,6,2,2,3,2,6
2,4,9,6,2,3,1,4,9,6,1,4,4,3,9,2,4,1,3,2,6,6,2,4,3,1,6,9,2,6,2,9,2,6,6,2,2,9,1,2,6,2,3
6,9,6,3,6,2,3,9,4,9,3,6,2,4,9,2,6,6,2,3,6,6,3,6,6,2,4,3,9,2,6,4,4,9,2,6,4,2,4,6,9,6,2
1,3,1,2,3,3,4,1,3,4,9,2,6,6,6,6,6,6,6,1,4,2,2,6,4,2,4,2,9,2,3,2,6,3,2,4,6,1,3,6,4,4,3
4,6,1,3,3,2,9,3,1,3,3,9,2,6,6,1,6,3,4,6,2,3,1,3,6,1,1,2,3,3,2,6,9,3,2,6,4,6,1,9,2,2,2
3,2,6,6,2,9,6,2,6,4,9,6,3,2,4,6,2,2,3,6,4,2,6,2,2,2,2,6,2,6,1,3,2,9,9,6,1,3,6,2,1,1,2
9,9,2,3,9,3,9,3,3,6,3,2,1,6,1,2,3,3,6,2,1,3,2,9,3,6,9,3,6,3,1,2,3,4,3,2,4,6,6,3,6,9,6
6,4,2,3,9,3,3,3,6,3,4,2,3,6,2,2,6,4,1,9,4,6,3,6,2,2,3,9,9,1,3,3,4,6,6,3,6,9,6,3,4,6,3
6,3,2,9,3,6,3,3,3,6,1,1,3,2,3,6,6,9,2,2,2,4,2,3,9,3,6,9,3,9,1,6,4,2,9,4,6,6,4,6,1,1,6
6,3,2,4,3,2,3,4,3,2,3,2,1,3,9,1,9,3,2,4,6,4,3,2,3,1,2,3,1,4,9,6,6,6,6,6,9,2,6,6,6,3,9
3,9,2,2,2,3,9,2,2,6,4,9,6,6,9,6,3,2,1,4,3,3,2,1,6,9,1,2,6,9,4,3,6,3,3,9,3,4,9,4,4,6,3
9,6,6,6,9,9,2,2,3,4,2,6,6,6,3,2,6,2,3,3,2,9,6,4,2,3,4,2,9,6,3,6,3,1,2,6,1,3,2,3,4,6,4
2,1,6,9,6,2,6,4,6,6,3,9,6,3,6,6,1,9,1,9,2,3,4,2,6,2,2,1,6,3,3,6,6,6,3,1,2,1,3,2,3,3,3
6,2,1,2,4,1,6,3,6,4,2,2,3,4,9,3,9,2,2,2,4,2,3,2,1,4,2,9,6,6,4,2,2,2,4,9,3,2,2,4,6,2,1
1,3,4,3,9,4,4,3,2,4,4,4,2,6,1,2,3,4,3,1,3,2,6,2,3,6,1,2,3,6,4,6,2,2,9,1,2,6,2,2,9,3,6
2,3,2,3,3,2,3,6,3,2,4,2,2,1,6,6,6,4,4,9,3,2,3,2,6,3,2,2,4,2,3,2,2,6,3,9,3,3,4,9,6,3,4
4,1,2,3,3,3,4,9,1,6,2,6,9,1,3,2,6,3,2,4,4,6,1,2,2,9,6,9,4,4,9,9,1,2,6,3,3,3,6,9,2,2,1
4,4,6,4,2,6,6,3,1,6,2,2,2,3,9,2,6,6,6,3,4,6,6,9,2,2,1,3,3,3,2,9,9,1,2,3,2,3,3,3,1,1,3
9,1,9,2,9,3,9,6,6,3,1,3,9,2,3,2,3,1,2,2,9,4,6,2,3,4,3,1,3,3,6,6,6,9,6,2,2,1,3,1,1,1,2
3,9,6,6,6,3,1,2,2,2,3,9,6,6,2,2,2,4,2,3,3,6,6,2,3,6,3,9,1,4,9,3,3,4,9,6,4,1,6,3,4,3,2
6,1,6,3,6,3,2,9,3,3,3,3,6,9,6,3,3,4,9,6,2,2,3,6,2,2,6,4,6,6,9,6,6,2,6,2,2,1,4,1,2,2,3
2,4,1,9,1,3,4,6,9,9,3,6,6,2,4,1,4,3,6,2,2,3,2,3,6,9,3,2,2,9,9,6,3,9,1,2,6,1,1,9,3,2,1
2,9,3,3,9,2,2,6,2,2,3,1,9,3,4,3,2,9,6,4,2,4,2,6,1,3,3,3,3,9,2,6,4,2,4,2,6,9,9,2,3,3,6
6,1,9,2,3,6,3,9,3,9,4,9,6,6,6,3,6,4,6,9,3,6,1,3,1,3,3,1,6,3,4,2,9,2,6,4,4,9,2,6,2,4,4
6,2,6,1,2,2,2,4,6,6,1,4,3,6,6,9,6,3,3,9,3,2,3,6,4,6,9,4,4,3,2,2,1,1,4,4,6,6,3,1,6,3,2
2,3,1,6,2,2,6,1,6,9,4,2,2,6,6,2,3,2,4,6,2,4,4,2,3,4,2,3,9,2,1,9,2,4,9,4,1,3,4,3,3,3,3
3,3,6,1,1,6,4,6,4,6,2,3,1,4,6,1,3,3,4,3,3,2,6,6,1,4,6,3,4,4,1,2,4,6,3,2,9,4,4,6,9,2,9
4,6,6,6,2,3,6,3,6,6,4,4,2,3,6,4,6,9,6,6,9,4,2,9,6,1,1,2,1,6,6,2,1,6,6,6,2,3,2,2,6,6,1
3,6,3,6,2,3,2,2,9,3,3,6,3,3,1,3,2,2,1,4,3,1,1,3,2,3,6,9,2,3,6,4,2,2,2,2,1,9,9,6,6,2,1
9,1,9,9,9,2,1,4,4,4,2,3,9,2,6,2,2,6,6,9,2,6,6,2,2,2,3,6,1,2,6,6,3,2,2,6,9,3,6,2,9,6,3
6,3,2,2,2,2,6,1,6,3,3,1,9,3,9,4,2,3,3,3,3,3,3,2,2,3,6,6,1,1,6,6,6,2,2,6,3,9,3,4,2,9,1
6,1,4,9,1,2,2,4,2,9,1,3,2,2,3,3,6,2,2,1,6,3,4,6,2,3,6,3,1,1,2,2,3,6,3,6,9,3,6,4,1,2,3
3,3,2,9,4,4,3,2,3,4,6,6,2,2,2,1,1,6,2,6,3,3,4,3,1,6,6,3,4,9,2,9,6,2,1,6,4,9,3,6,2,9,6
3,6,1,3,3,3,6,6,6,6,9,6,1,4,1,9,3,6,6,2,3,4,6,6,9,3,4,1,2,6,3,6,6,9,6,6,9,9,2,6,3,4,3
1,4,4,1,1,6,3,6,2,2,9,2,2,4,2,6,3,3,2,6,2,3,2,6,3,3,2,2,6,6,6,6,3,2,4,4,6,3,1,3,4,3,3
9,2,1,1,2,6,6,3,4,3,2,1,4,3,9,2,2,3,6,2,3,9,3,6,4,6,9,4,9,6,6,4,2,4,2,1,6,6,4,2,3,3,2
2,3,6,4,2,1,4,9,1,1,9,9,3,2,2,4,3,6,3,6,6,1,9,1,3,6,3,6,3,9,6,9,3,1,2,3,3,3,4,9,1,2,1
9,3,2,2,4,6,2,4,2,1,6,9,2,2,9,3,6,2,3,6,9,2,4,4,3,3,9,9,3,2,1,2,9,1,4,3,6,4,1,2,2,6,2
